Gender,Nationality,Region,Year,Population
Male,Saudi,Hail,2016,231701
Male,Saudi,Hail,2017,236237
Male,Saudi,Hail,2018,241617
Male,Saudi,Hail,2019,247491
Male,Saudi,Hail,2020,254097
Male,Saudi,Hail,2021,259504
Male,Saudi,Hail,2022,265107
Male,Saudi,Jazan,2010,376086
Male,Saudi,Jazan,2011,383516
Male,Saudi,Jazan,2012,392305
Male,Saudi,Jazan,2013,402666
Male,Saudi,Jazan,2014,414604
Male,Saudi,Jazan,2015,425816
Male,Saudi,Jazan,2016,435600
Male,Saudi,Jazan,2017,444104
Male,Saudi,Jazan,2018,454221
Male,Saudi,Jazan,2019,465289
Male,Saudi,Jazan,2020,477821
Male,Saudi,Jazan,2021,488180
Male,Saudi,Jazan,2022,498893
Male,Saudi,Makkah Al Mukarramah,2010,1541652
Male,Saudi,Makkah Al Mukarramah,2011,1573573
Male,Saudi,Makkah Al Mukarramah,2012,1611601
Male,Saudi,Makkah Al Mukarramah,2013,1656215
Male,Saudi,Makkah Al Mukarramah,2014,1707937
Male,Saudi,Makkah Al Mukarramah,2015,1756374
Male,Saudi,Makkah Al Mukarramah,2016,1798985
Male,Saudi,Makkah Al Mukarramah,2017,1835981
Male,Saudi,Makkah Al Mukarramah,2018,1879826
Male,Saudi,Makkah Al Mukarramah,2019,1927746
Male,Saudi,Makkah Al Mukarramah,2020,1981969
Male,Saudi,Makkah Al Mukarramah,2021,2027109
Male,Saudi,Makkah Al Mukarramah,2022,2073878
Male,Saudi,Najran,2010,151112
Male,Saudi,Najran,2011,154018
Male,Saudi,Najran,2012,157421
Male,Saudi,Najran,2013,161411
Male,Saudi,Najran,2014,166042
Male,Saudi,Najran,2015,170333
Male,Saudi,Najran,2016,174112
Male,Saudi,Najran,2017,177411
Male,Saudi,Najran,2018,181278
Male,Saudi,Najran,2019,185427
Male,Saudi,Najran,2020,190039
Male,Saudi,Najran,2021,193787
Male,Saudi,Najran,2022,197668
Male,Saudi,Northern Borders,2010,104306
Male,Saudi,Northern Borders,2011,106296
Male,Saudi,Northern Borders,2012,108664
Male,Saudi,Northern Borders,2013,111421
Male,Saudi,Northern Borders,2014,114609
Male,Saudi,Northern Borders,2015,117567
Male,Saudi,Northern Borders,2016,120146
Male,Saudi,Northern Borders,2017,122394
Male,Saudi,Northern Borders,2018,125029
Male,Saudi,Northern Borders,2019,127864
Male,Saudi,Northern Borders,2020,131023
Male,Saudi,Northern Borders,2021,133588
Male,Saudi,Northern Borders,2022,136267
Male,Saudi,Tabuk,2010,244052
Male,Saudi,Tabuk,2011,248842
Male,Saudi,Tabuk,2012,254504
Male,Saudi,Tabuk,2013,261129
Male,Saudi,Tabuk,2014,268809
Male,Saudi,Tabuk,2015,275939
Male,Saudi,Tabuk,2016,282196
Male,Saudi,Tabuk,2017,287581
Male,Saudi,Tabuk,2018,293945
Male,Saudi,Tabuk,2019,300852
Male,Saudi,Tabuk,2020,308645
Male,Saudi,Tabuk,2021,315045
Male,Saudi,Tabuk,2022,321704
